title,code,stars,genre,director,actor,writer,highest_percentages,highest_age
나홀로집에2-뉴욕을헤매다,12270,9.35,모험,크리스콜럼버스,맥컬리컬킨,존휴즈각본,0,0
세얼간이,73372,9.35,코미디,라지쿠마르히라니,아미르칸,비두비노드쇼프라각본,0,0
미세스다웃파이어,16210,9.35,코미디,크리스콜럼버스,로빈윌리엄스,랜디메이엄싱어각본,0,0
반지의제왕:두개의탑,31795,9.35,판타지,피터잭슨,일라이저우드,프랜월시각본,43,20
자산어보,189075,9.35,드라마,이준익,설경구,김세겸각본,30,30
"지금,만나러갑니다",39636,9.35,멜로/로맨스,도이노부히로,다케우치유코,오카다요시카즈각본,54,20
에이리언2,10038,9.35,SF,제임스카메론,시고니위버,제임스카메론각본,0,0
모노노케히메,19303,9.35,애니메이션,미야자키하야오,마츠다요지,미야자키하야오각본,50,10
울지마톤즈,76667,9.35,다큐멘터리,구수환,이금희,윤정화각본,100,40
지상의별처럼,51172,9.35,드라마,아미르칸,다쉴사페리,아몰굽테각본,0,0
아기공룡둘리-얼음별대모험,17441,9.35,애니메이션,김수정,박영남,김수정원작자,0,0
더록,17135,9.35,액션,마이클베이,숀코네리,데이빗웨이스버그각본,0,0
오세암,34181,9.35,애니메이션,성백엽,김서영,최민용각본,0,0
아마데우스,10114,9.35,드라마,밀로스포만,톰헐스,피터쉐퍼각본,46,20
아이즈온미:더무비,189027,9.34,공연실황,권은비,전체관람가,오윤동제작,0,0
프리윌리,16466,9.34,가족,사이먼윈서,케이코,키스월커각본,0,0
다크나이트,62586,9.34,액션,크리스토퍼놀란,크리스찬베일,조나단놀란각본,48,20
로망,182348,9.34,멜로/로맨스,이창근,이순재,이창근각본,39,20
알라딘,13008,9.34,애니메이션,존머스커,스콧와인거,론클레멘츠각본,0,0
범죄도시2,192608,9.34,범죄,이상용,마동석,김민성각본,40,30
언더독,144318,9.33,애니메이션,오성윤,도경수,오성윤각본,38,30
그대를사랑합니다,73476,9.33,드라마,추창민,이순재,추창민각본,0,0
아이엠샘,34227,9.33,드라마,제시넬슨,숀펜,크리스틴존슨각본,0,0
빌리엘리어트,31013,9.33,드라마,스티븐달드리,제이미벨,리홀각본,46,20
언터처블:1%의우정,87566,9.33,코미디,올리비에르나카체,프랑수아클루제,에릭토레다노각본,0,0
천공의성라퓨타,18782,9.33,애니메이션,미야자키하야오,타나카마유미,미야자키하야오각본,0,0
피아니스트,35187,9.33,드라마,로만폴란스키,애드리언브로디,로날드하우드각본,62,20
시네마천국,10001,9.33,드라마,쥬세페토르나토레,마르코레오나르디,쥬세페토르나토레각본,47,20
러브유어셀프인서울,180220,9.33,공연실황,RM,전체관람가,오윤동프로듀서,0,0
프리퀀시,29657,9.33,범죄,그레고리호블릿,데니스퀘이드,토비에머리치각본,0,0
두교황,189111,9.33,드라마,페르난도메이렐레스,안소니홉킨스,안토니맥카튼각본,37,30
라푼젤,75470,9.33,애니메이션,네이슨그레노,맨디무어,댄포겔맨각본,0,0
토이스토리,17153,9.33,애니메이션,존라세터,톰행크스,조스웨던각본,0,0
업,52120,9.33,애니메이션,피트닥터,에드워드애스너,밥피터슨각본,0,0
소원,103535,9.33,드라마,이준익,설경구,김지혜각본,0,0
해리포터와죽음의성물-2부,47528,9.33,모험,데이빗예이츠,다니엘래드클리프,스티브클로브스각본,0,0
늑대와춤을,10244,9.33,서부,케빈코스트너,케빈코스트너,마이클블레이크원작자,37,50
드래곤길들이기,70457,9.33,애니메이션,딘데블로이스,제이바루첼,딘데블로이스각본,100,30
아이언자이언트,25915,9.32,애니메이션,브래드버드,제니퍼애니스톤,팀맥칸라이즈각본,57,20
에이아이,31268,9.32,SF,스티븐스필버그,할리조엘오스먼트,스티븐스필버그각본,100,20
우리들의일그러진영웅,12297,9.32,드라마,박종원,홍경인,장현수각본,0,0
코코,151728,9.32,애니메이션,리언크리치,안소니곤잘레스,애드리언몰리나각본,37,30
블라인드사이드,71081,9.32,드라마,존리행콕,산드라블록,존리행콕각본,0,0
